Timestamp                       Thread     Type        Activity             PID    TTL  
2021-02-08 19:26:27.992848+0800 0x1d2      Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: powerStateWillChangeToGated: SYSTEM WILL SLEEP.
2021-02-08 19:26:27.992855+0800 0x1d2      Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: handleEventGated: called, event(3).
2021-02-08 19:26:27.993116+0800 0x1d2      Default     0x0                  0      0    kernel: PMRD: hibernateMode 0x0
2021-02-08 19:26:27.993123+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14
2021-02-08 19:26:27.993218+0800 0x74       Default     0x0                  0      0    kernel: PMRD: wrangler kIOMessageDeviceWillPowerOff ps 0
2021-02-08 19:26:27.993219+0800 0x74       Default     0x0                  0      0    kernel: PMRD: evaluatePolicy( 0, 0x0 )
2021-02-08 19:26:27.993240+0800 0x20e1     Default     0x0                  0      0    kernel: (RTCMemoryFixup) <compose failure [UUID]>
2021-02-08 19:26:27.993242+0800 0x20e1     Default     0x0                  0      0    kernel: (RTCMemoryFixup) <compose failure [UUID]>
2021-02-08 19:26:27.993249+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x00000001
2021-02-08 19:26:27.993252+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x00000003
2021-02-08 19:26:27.993256+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x00000007
2021-02-08 19:26:27.993261+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x0000000f
2021-02-08 19:26:27.993267+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x0000001f
2021-02-08 19:26:27.993269+0800 0x20e2     Default     0x0                  0      0    kernel: (IOGraphicsFamily) GTrace synchronization point 179
2021-02-08 19:26:27.993275+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x0000003f
2021-02-08 19:26:27.993279+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x0000007f
2021-02-08 19:26:27.993282+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x000000ff
2021-02-08 19:26:27.993286+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x000001ff
